Rm,Sm,Rn,Sn,RS_Gr,RS_Gn,chi2_pvalue,diff_entropy,lsb_diff_entropy,median_prefix_p,chi2_stat,label,photo_id,variant,method,p,density,changed_frac
35609,8171,31384,7694,0.418670654296875,0.361480712890625,3.532209070984062e-249,3.2977679353424123,0.9914794021449816,1.2094956920092818e-196,1583.2451976277969,0,192,clean,,,,
35055,8392,30764,7889,0.4068450927734375,0.3490447998046875,3.2045455518417754e-233,3.316530482613244,0.993489486122942,3.8721959231444303e-185,1503.232129434241,1,192,v0,nsF5,3,0.25,0.0315
34407,8636,29984,8119,0.3932342529296875,0.3336334228515625,1.4841716497172028e-213,3.3353490134880897,0.9954399292040259,8.979719818345605e-175,1404.0837682248512,1,192,v1,nsF5,3,0.55,0.0690
34118,8748,29684,8228,0.387115478515625,0.327392578125,3.4894531083450145e-213,3.3422335716038205,0.9961642578426435,1.1350285865147944e-164,1402.205598542936,1,192,v2,nsF5,2,0.35,0.0878
32524,9604,27855,8910,0.3497314453125,0.2890777587890625,1.2792512148218102e-183,3.37847896261066,0.9991267791010245,8.026397960126495e-140,1251.7830576118035,1,192,v3,nsF5,2,0.85,0.2133
32064,9451,28004,8882,0.3450469970703125,0.291778564453125,1.942990358551832e-176,3.333108215981488,0.9950590122558288,9.4226425331551e-143,1214.9551390249876,1,192,v4,matrix,3,0.5,0.0623
25925,12456,22380,11606,0.2055206298828125,0.164398193359375,7.376829780269104e-69,3.392152640806624,0.9989568684806709,2.3455209949443653e-50,638.7389046590738,1,192,v5,matrix,2,0.8,0.1996
36168,7083,32162,7746,0.4438018798828125,0.37255859375,1.1328215183547532e-264,3.1302101079073936,0.9848947109069789,2.1597655731378013e-192,1660.5996220677946,0,193,clean,,,,
35462,7223,31349,7854,0.4308929443359375,0.3585052490234375,1.5289798793170342e-254,3.150563660129532,0.9885373811579499,1.686024968709888e-177,1610.05887943315,1,193,v0,nsF5,3,0.25,0.0315
34812,7479,30537,8059,0.4170684814453125,0.342987060546875,1.063321941340003e-240,3.17024988257177,0.9917625102880435,1.3961474814448594e-169,1540.7786947886677,1,193,v1,nsF5,3,0.55,0.0693
34465,7716,30133,8192,0.4081573486328125,0.3347930908203125,9.066805317061469e-234,3.177264506371477,0.9933012200624064,2.0771211312034637e-174,1505.9876185242379,1,193,v2,nsF5,2,0.35,0.0884
32696,8782,28153,8792,0.364898681640625,0.2954254150390625,2.6395253194997842e-213,3.2159955848288466,0.9985222037559165,2.9254787477336985e-156,1402.8189028779104,1,193,v3,nsF5,2,0.85,0.2135
32376,8242,28499,8773,0.368255615234375,0.300994873046875,3.809898718983494e-194,3.168643976366447,0.9911517079343822,3.553538826887593e-134,1305.5467861632421,1,193,v4,matrix,3,0.5,0.0626
25865,11633,22530,11584,0.2171630859375,0.167022705078125,2.721232158578105e-77,3.231765530612053,0.9981811136762089,1.3600287772449852e-56,686.655551384442,1,193,v5,matrix,2,0.8,0.1997
37165,7059,34100,7232,0.459381103515625,0.40997314453125,0.0,3.4887218199412424,0.985308136506652,9.414160567304275e-211,2203.0682755142475,0,194,clean,,,,
36432,7241,33235,7345,0.4454193115234375,0.395050048828125,0.0,3.5071271692035233,0.9883706767236462,1.6332058747480715e-209,2162.3344099565184,1,194,v0,nsF5,3,0.25,0.0313
35616,7500,32174,7530,0.42901611328125,0.37603759765625,0.0,3.5260558592369144,0.991559755632346,7.743373744603188e-204,2075.574125521047,1,194,v1,nsF5,3,0.55,0.0687
35149,7710,31646,7758,0.4186859130859375,0.364501953125,0.0,3.5351412177644055,0.9932596107068765,1.3315788610125483e-186,2033.8863007124082,1,194,v2,nsF5,2,0.35,0.0879
33347,8646,29189,8519,0.3769073486328125,0.315399169921875,3.056148334369208e-305,3.57241109483991,0.9981993542202123,2.749332417361884e-173,1861.8204647288148,1,194,v3,nsF5,2,0.85,0.2138
33087,8169,29959,8240,0.380218505859375,0.3314056396484375,5.5380982002737516e-279,3.525077710140963,0.9909626337160292,4.2347973479531703e-163,1731.7853109479533,1,194,v4,matrix,3,0.5,0.0622
26033,11485,23216,11326,0.22198486328125,0.181427001953125,6.832327176379957e-120,3.584130999359409,0.997916377361767,8.524496774719278e-63,919.5213792141031,1,194,v5,matrix,2,0.8,0.2004
34760,6863,30455,7915,0.4256744384765625,0.34393310546875,2.1186215796860986e-158,3.200991440649266,0.9869561189633064,2.8910604883859113e-121,1121.8640587371353,0,195,clean,,,,
34194,7120,29852,8093,0.413116455078125,0.3320159912109375,2.6287321445931104e-152,3.2182891192238783,0.9901027844949646,7.440838147998747e-116,1090.2016450479641,1,195,v0,nsF5,3,0.25,0.0317
33551,7450,29229,8380,0.3982696533203125,0.3181304931640625,2.817759559076421e-142,3.236034439943875,0.9929532519838244,1.8303053220171312e-110,1037.8199477531723,1,195,v1,nsF5,3,0.55,0.0697
33461,7548,29092,8414,0.3954010009765625,0.315521240234375,2.417208188543356e-153,3.242598723191806,0.9939615125546941,6.593071859451635e-114,1095.5951262949634,1,195,v2,nsF5,2,0.35,0.0883
32030,8375,27456,8985,0.3609466552734375,0.2818450927734375,9.328296461731454e-153,3.27694588637281,0.9985618875210815,4.1588209398631534e-95,1092.5435290130652,1,195,v3,nsF5,2,0.85,0.2143
31304,8210,27369,9104,0.352386474609375,0.2787017822265625,1.7187752743693238e-103,3.2347228801071077,0.9924935781236705,6.83304479035837e-83,831.3220174509927,1,195,v4,matrix,3,0.5,0.0629
25471,11227,22199,11660,0.21734619140625,0.1608123779296875,6.415023004266783e-45,3.2900153768088662,0.9982565087608558,2.5723366029506216e-27,497.03170223191984,1,195,v5,matrix,2,0.8,0.2002
33109,9785,29045,9356,0.35589599609375,0.3004302978515625,0.0,3.4193018204680152,0.9879271248585412,1.3270643408051214e-186,2415.380953459746,0,196,clean,,,,
32578,9958,28488,9455,0.34515380859375,0.2904205322265625,0.0,3.429407052798171,0.9908296462724853,1.6982800148339535e-187,2350.3356927456452,1,196,v0,nsF5,3,0.25,0.0316
32103,10185,27842,9669,0.334442138671875,0.2772979736328125,0.0,3.4384594324447,0.9936034419512823,5.873978525728811e-184,2270.8260210681933,1,196,v1,nsF5,3,0.55,0.0694
31683,10231,27502,9710,0.32733154296875,0.271484375,0.0,3.4430307258011053,0.9944574329928293,1.0840973821444036e-189,2316.594203043406,1,196,v2,nsF5,2,0.35,0.0878
30337,10916,25877,10245,0.2963409423828125,0.238525390625,0.0,3.459248701611309,0.9988285428123573,2.9817500955815796e-209,2240.722758152778,1,196,v3,nsF5,2,0.85,0.2139
30142,10760,26234,10272,0.295745849609375,0.243560791015625,5.424795346759007e-299,3.4378881180879337,0.9931813786386426,2.4665134096133807e-132,1830.9366235037048,1,196,v4,matrix,3,0.5,0.0626
